NMARK=1
MARKER_TAG=inlet
NROW=128
NCOL=6
# COORD-X    COORD-Y    TEMPERATURE    VELOCITY    NORMAL-X    NORMAL-Y
0.00000000000000E+00    4.10000000000000E-01    3.00000000000000E+02    0.00000000000000E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    4.06771653543307E-01    3.00000000000000E+02    9.37441874883762E-02    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    4.03543307086614E-01    3.00000000000000E+02    1.86000372000748E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    4.00314960629921E-01    3.00000000000000E+02    2.76768553537114E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.97086614173228E-01    3.00000000000000E+02    3.66048732097473E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.93858267716535E-01    3.00000000000000E+02    4.53840907681827E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.90629921259842E-01    3.00000000000000E+02    5.40145080290174E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.87401574803149E-01    3.00000000000000E+02    6.24961249922515E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.84173228346456E-01    3.00000000000000E+02    7.08289416578850E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.80944881889763E-01    3.00000000000000E+02    7.90129580259180E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.77716535433070E-01    3.00000000000000E+02    8.70481740963503E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.74488188976377E-01    3.00000000000000E+02    9.49345898691821E-01    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.71259842519685E-01    3.00000000000000E+02    1.02672205344411E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.68031496062992E-01    3.00000000000000E+02    1.10261020522041E+00    1.00000000000000E+00    0.00000000000000E+00
0.00000000000000E+00    3.64803149606299E-01    3.00000000000000E+02    1.17701035402071E+00    1.00000000000000E+00    0.00000000000000E+00
